Video Name,L1_R1,L1_R2
00003.mp4,Driving in Lane,Straight at intersection
00014.mp4,Turning at intersection,Leaving Lane
00016.mp4,Other,Driving in Lane
00019.mp4,Straight at intersection,Driving in Lane
00023.mp4,Other,Turning at intersection
00026.mp4,Other,Driving in Lane
00037.mp4,Straight at intersection,Driving in Lane
00042.mp4,Turning at intersection,Straight at intersection
00063.mp4,Straight at intersection,Driving in Lane
00078.mp4,Driving in Lane,Straight at intersection
00081.mp4,Driving in Lane,Straight at intersection
00085.mp4,Turning at intersection,Straight at intersection
00090.mp4,Driving in Lane,Straight at intersection
00095.mp4,Driving in Lane,Other
00106.mp4,Other,Turning at intersection
00108.mp4,Driving in Lane,Other
00111.mp4,Driving in Lane,Turning at intersection
00119.mp4,Driving in Lane,Straight at intersection
00138.mp4,Driving in Lane,Turning at intersection
00142.mp4,Driving in Lane,Straight at intersection
00147.mp4,Leaving Lane,Turning at intersection
00148.mp4,Straight at intersection,Turning at intersection
00152.mp4,Turning at intersection,Driving in Lane
00155.mp4,Driving in Lane,Straight at intersection
00169.mp4,Turning at intersection,Straight at intersection
00177.mp4,Turning at intersection,Straight at intersection
00184.mp4,Leaving Lane,Driving in Lane
00187.mp4,Other,Leaving Lane
00200.mp4,Driving in Lane,Straight at intersection
00209.mp4,Turning at intersection,Straight at intersection
00225.mp4,Driving in Lane,Other
00235.mp4,Driving in Lane,Other
00239.mp4,Turning at intersection,Straight at intersection
00253.mp4,Driving in Lane,Other
00256.mp4,Driving in Lane,Leaving Lane
00260.mp4,Driving in Lane,Straight at intersection
00262.mp4,Driving in Lane,Other
00263.mp4,Turning at intersection,Straight at intersection
00265.mp4,Leaving Lane,Driving in Lane
00269.mp4,Driving in Lane,Straight at intersection
00282.mp4,Driving in Lane,Turning at intersection
00289.mp4,Driving in Lane,Straight at intersection
00290.mp4,Driving in Lane,Turning at intersection
00296.mp4,Driving in Lane,Turning at intersection
00284.mp4,Driving in Lane,Straight at intersection
00336.mp4,Driving in Lane,Leaving Lane
00351.mp4,Driving in Lane,Other
00370.mp4,Straight at intersection,Leaving Lane
00372.mp4,Straight at intersection,Driving in Lane
00373.mp4,Straight at intersection,Turning at intersection
00376.mp4,Other,Driving in Lane
00378.mp4,Straight at intersection,Other
00383.mp4,Other,Driving in Lane
00387.mp4,Turning at intersection,Driving in Lane
00389.mp4,Driving in Lane,Other
00405.mp4,Driving in Lane,Other
00414.mp4,Driving in Lane,Other
00415.mp4,Driving in Lane,Straight at intersection
00420.mp4,Straight at intersection,Driving in Lane
00425.mp4,Driving in Lane,Other
00427.mp4,Other,Driving in Lane
00430.mp4,Turning at intersection,Driving in Lane
00433.mp4,Turning at intersection,Straight at intersection
00457.mp4,Straight at intersection,Turning at intersection
00459.mp4,Driving in Lane,Other
00460.mp4,Turning at intersection,Other
00467.mp4,Other,Leaving Lane
00475.mp4,Straight at intersection,Driving in Lane
00478.mp4,Straight at intersection,Driving in Lane
00483.mp4,Turning at intersection,Driving in Lane
00491.mp4,Turning at intersection,Straight at intersection
00497.mp4,Driving in Lane,Straight at intersection
00510.mp4,Driving in Lane,Leaving Lane
00519.mp4,Turning at intersection,Leaving Lane
00539.mp4,Leaving Lane,Straight at intersection
00546.mp4,Other,Driving in Lane
00551.mp4,Leaving Lane,Turning at intersection
